type,name,site,position,size,effective_size,twist,superhelical,effect_model,effect_oparams,unbinding_model,unbinding_oparams
EXT,EXT_L,EXT,0.0,0.0,0.0,20.543356484071776,0.11132222041951457536,,,,
RNAP,RNAP,bla,308.38906696331964,50.0,32.0,7.373669152959156,0.06855772403697582562,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,bla,520.1257350700338,50.0,32.0,-2.1673511740007387,-0.07410687115502416489,RNAPStall,,RNAPSimpleUnbinding,
topo,topoI,10,601.0,60.0,40.0,-20.924943238047305,-0.04720270652933718225,TopoILinear,,PoissonUnBinding,
RNAP,RNAP,mKalama1,1381.8099693588247,50.0,32.0,-13.844756397815832,-0.07052971692640665202,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,mKalama1,1741.8468009627911,50.0,32.0,-5.370838545308328,-0.11740682179054982848,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,mKalama1,1850.2934047033468,50.0,32.0,-22.865796540971324,-0.09583901594974900129,RNAPStall,,RNAPSimpleUnbinding,
topo,topoI,38,2281.0,60.0,40.0,-64.98835423348851,-0.09128044611044963674,TopoILinear,,PoissonUnBinding,
RNAP,RNAP,tetA,3510.7815110926435,50.0,32.0,-5.148215509493757,-0.068183250619921850766,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,tetA,3668.96090792956,50.0,32.0,-2.3383218524529727,-0.20563184157236694127,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,tetA,3681.9578560462724,50.0,32.0,-18.609748553662648,-0.069093452676679864566,RNAPStall,,RNAPSimpleUnbinding,
RNAP,RNAP,tetA,4164.06203019517,50.0,32.0,26.62860296340644,0.030273233089634053739,RNAPStall,,RNAPSimpleUnbinding,
EXT,EXT_R,EXT,5666.0,0.0,0.0,0.0,-0.05999999999999999778,,,,
